  UID   PID  PPID        F CPU PRI NI       SZ    RSS WCHAN     S             ADDR TTY           TIME CMD              STIME
    0     1     0     4004   0  37  0 426853744  17360 -      Ss                  0 ??         0:23.09 /sbin/launchd    10:07PM
    0   297     1     4004   0  31  0 427048480  45936 -      Ss                  0 ??         0:10.82 /usr/libexec/log 10:07PM
    0   298     1     4004   0   4  0 426917248   5792 -      Ss                  0 ??         0:00.06 /usr/libexec/smd 10:07PM
    0   299     1     4004   0  31  0 426958880  27696 -      Ss                  0 ??         0:01.72 /usr/libexec/Use 10:07PM
    0   301     1  1004004   0  50  0 426922624   7472 -      Ss                  0 ??         0:06.40 /System/Library/ 10:07PM
    0   302     1     4004   0   4  0 426955952  13520 -      Ss                  0 ??         0:00.37 /System/Library/ 10:07PM
    0   305     1     4004   0  31  0 426961472  16928 -      Ss                  0 ??         0:00.79 /usr/sbin/system 10:07PM
  278   307     1     4004   0  37  0 426952320  13872 -      Ss                  0 ??         0:00.13 /System/Library/ 10:07PM
    0   308     1     400c   0  37  0 426954592  14688 -      Ss                  0 ??         0:05.38 /usr/libexec/con 10:07PM
    0   309     1     4004   0   4  0 426911952   1472 -      Ss                  0 ??         0:00.01 endpointsecurity 10:07PM
    0   310     1     4004   0  37  0 426952032  11824 -      Ss                  0 ??         0:03.23 /System/Library/ 10:07PM
    0   311     1     4004   0   4  0 426912512   3264 -      Ss                  0 ??         0:00.02 /usr/libexec/IOM 10:07PM
    0   313     1     4004   0  36  0 426950560   8048 -      Ss                  0 ??         0:00.24 /usr/libexec/amf 10:07PM
    0   317     1     4004   0  37  0 426916096   3888 -      Ss                  0 ??         0:00.02 /usr/libexec/key 10:07PM
  200   318     1     4004   0   4  0 426952736   5488 -      Ss                  0 ??         0:00.21 /System/Library/ 10:07PM
  306   319     1     4004   0  31  0 410656384   2416 -      Ss                  0 ??         0:00.02 /System/Library/ 10:07PM
    0   321     1     4004   0  97  0 426916640   2944 -      Ss                  0 ??         0:00.24 /usr/libexec/wat 10:07PM
    0   325     1  1004004   0  50  0 426972096  43728 -      Ss                  0 ??         0:19.47 /System/Library/ 10:07PM
  240   326     1     4004   0   4  0 426950320   4416 -      Ss                  0 ??         0:00.05 /System/Library/ 10:07PM
    0   327     1     4004   0  31  0 426954048   8000 -      Ss                  0 ??         0:00.77 /usr/libexec/ker 10:07PM
    0   328     1     4004   0  31  0 426950048   6560 -      Ss                  0 ??         0:00.53 /usr/libexec/dis 10:07PM
    0   331     1     4004   0   4  0 426957616  18016 -      Ss                  0 ??         0:01.32 /usr/libexec/cor 10:07PM
    0   332     1     4004   0   4  0 426917200   2096 -      Ss                  0 ??         0:00.54 /usr/sbin/syslog 10:07PM
    0   335     1     4004   0  37  0 426950320   6336 -      Ss                  0 ??         0:01.08 /usr/libexec/the 10:07PM
    0   336     1     4004   0  31  0 426956624  17840 -      Ss                  0 ??         0:18.03 /usr/libexec/ope 10:07PM
    0   338     1     4004   0  31  0 426955264  16464 -      Ss                  0 ??         0:02.55 /System/Library/ 10:07PM
    0   339     1     4004   0  37  0 426953088  12288 -      Ss                  0 ??         0:02.22 /System/Library/ 10:07PM
  266   340     1     4004   0  31  0 426950512   6880 -      Ss                  0 ??         0:00.40 /usr/libexec/tim 10:07PM
  213   341     1     4004   0  31  0 426960448   5760 -      Ss                  0 ??         0:00.10 /System/Library/ 10:07PM
    0   342     1     4004   0  37  0 426951584   7696 -      Ss                  0 ??         0:01.38 /usr/sbin/securi 10:07PM
  205   344     1     4004   0   4  0 426978256  32512 -      Ss                  0 ??         0:32.02 /usr/libexec/loc 10:07PM
    0   345     1     4004   0   4  0 426950864   7136 -      Ss                  0 ??         0:00.57 /usr/libexec/nes 10:07PM
    0   347     1     4004   0  20  0 426912448   2320 -      Ss                  0 ??         0:00.02 autofsd          10:07PM
    0   348     1     4004   0   4  0 426957376  21696 -      Ss                  0 ??         0:14.25 /usr/libexec/das 10:07PM
  241   350     1     4004   0  37  0 426916496   3568 -      Ss                  0 ??         0:01.50 /usr/sbin/distno 10:07PM
    0   351     1     4004   0  31  0 426949840   3728 -      Ss                  0 ??         0:00.02 /System/Library/ 10:07PM
    0   352     1     4004   0   4  0 426956800  28720 -      Ss                  0 ??         0:29.96 /usr/libexec/Per 10:07PM
    0   353     1     4004   0   4  0 426912400   1008 -      Ss                  0 ??         0:00.06 /usr/libexec/dir 10:07PM
